message_id,customer_id,text,issue_type,frustration
M0498,C0191,This is frustrating — the payment page is not loading. I'd like this fixed.,App_Technical,Medium
M0245,C0024,I have HAD enough — the return pickup was never scheduled. Sort it out or refund me!!,Refund_Return,High
M0553,C0158,"Hi, can you tell me the store timings. Appreciate it.",General_Query,Low
M0214,C0124,I'm a bit annoyed that I am still waiting for the refund you promised. This needs attention.,Refund_Return,Medium
M0550,C0036,"Hi team, do you deliver to my area. Appreciate it.",General_Query,Low
M0507,C0029,I'm disappointed that I cannot track my order in the app. I'd like this fixed.,App_Technical,Medium
M0606,C0070,This is outrageous!! how do I add an address to my account. Fix this NOW or I'm leaving for good!,General_Query,High
M0078,C0139,This is outrageous!! my shipment is stuck and not moving. I'm escalating this everywhere!,Delivery,High
M0532,C0072,I am ABSOLUTELY furious!! the payment page is not loading. This is the third time — enough!!,App_Technical,High
M0146,C0104,I'm a bit annoyed that there were parts missing and the unit is faulty. I'd like this fixed.,Damaged_Defective,Medium
M0269,C0105,This is the LAST straw. please refund me for the order I sent back. I will never shop here again!,Refund_Return,High
M0032,C0166,This is frustrating — the courier never showed up. Please sort this out soon.,Delivery,Medium
M0056,C0146,It's bothering me that the delivery date keeps getting pushed. Please look into it.,Delivery,Medium
M0091,C0215,"Hi, the screen was cracked when I opened it. Please let me know.",Damaged_Defective,Low
M0415,C0209,I'm disappointed that this is not the quality I expected from Lulu.,Product_Quality,Medium
M0077,C0179,This is the LAST straw. the delivery is late again. Sort it out or refund me!!,Delivery,High
M0003,C0058,"Hi, I have been waiting for my package for days.",Delivery,Low
M0480,C0186,"Hi team, the website freezes when I add items to cart. Thank you.",App_Technical,Low
M0189,C0157,"Good morning, I am still waiting for the refund you promised. Appreciate it.",Refund_Return,Low
M0614,C0197,I am done with Lulu! how do I add an address to my account. I want this resolved immediately!!,General_Query,High
M0132,C0147,The screen was cracked when I opened it. Kindly resolve.,Damaged_Defective,Medium
M0149,C0027,This is frustrating — the headphones is defective and will not switch on. Kindly resolve.,Damaged_Defective,Medium
M0050,C0096,I'm a bit annoyed that nobody delivered my order today as promised. This needs attention.,Delivery,Medium
M0627,C0144,I am ABSOLUTELY furious!! I just wanted to ask about your return policy. This is the third time — enough!!,General_Query,High
M0478,C0041,"Hello, I cannot log into my account on the app. Kind regards.",App_Technical,Low
M0111,C0125,"Good morning, the product was damaged in the box. Appreciate it.",Damaged_Defective,Low
M0159,C0013,I have HAD enough — there were parts missing and the unit is faulty. This is the third time — enough!!,Damaged_Defective,High
M0594,C0030,I'm disappointed that how do I add an address to my account. This needs attention.,General_Query,Medium
M0626,C0071,This is the LAST straw. how do I add an address to my account. I want this resolved immediately!!,General_Query,High
M0404,C0102,I'm unhappy because the laptop feels cheap and not worth the price.,Product_Quality,Medium
M0164,C0176,This is the LAST straw. the product was damaged in the box. I'm escalating this everywhere!,Damaged_Defective,High
M0265,C0118,This is the LAST straw. I am still waiting for the refund you promised. Fix this NOW or I'm leaving for good!,Refund_Return,High
M0257,C0083,This is outrageous!! I returned the product but no refund came. I want this resolved immediately!!,Refund_Return,High
M0290,C0035,"Hi there, the invoice amount is wrong. Looking forward to your reply.",Billing,Low
M0133,C0137,This is frustrating — there were parts missing and the unit is faulty.,Damaged_Defective,Medium
M0332,C0134,I am ABSOLUTELY furious!! the invoice amount is wrong. This is the third time — enough!!,Billing,High
M0454,C0138,"Hi, I cannot track my order in the app.",App_Technical,Low
M0618,C0012,I am ABSOLUTELY furious!! I just wanted to ask about your return policy. I will never shop here again!,General_Query,High
M0317,C0170,I see a payment I never authorized. Kindly resolve.,Billing,Medium
M0319,C0037,You billed me after I cancelled. I'd like this fixed.,Billing,Medium
M0358,C0050,I have HAD enough — the invoice amount is wrong. I will never shop here again!,Billing,High
M0040,C0209,I'm a bit annoyed that the delivery is late again. I'd like this fixed.,Delivery,Medium
M0087,C0121,I am done with Lulu! my order still has not arrived. Sort it out or refund me!!,Delivery,High
M0339,C0106,Completely unacceptable!! the invoice amount is wrong. I want this resolved immediately!!,Billing,High
M0418,C0144,This is frustrating — the product looks nothing like the description.,Product_Quality,Medium
M0210,C0056,The return pickup was never scheduled. Appreciate it.,Refund_Return,Low
M0474,C0049,"Hi, the app shows an error every time I open it. Thanks for your help.",App_Technical,Low
M0572,C0128,I'm a bit annoyed that can you tell me the store timings.,General_Query,Medium
M0079,C0077,This is outrageous!! I have been waiting for my package for days. I will never shop here again!,Delivery,High
M0351,C0017,Completely unacceptable!! I see a payment I never authorized. Fix this NOW or I'm leaving for good!,Billing,High
M0177,C0127,I have HAD enough — there were parts missing and the unit is faulty. I'm escalating this everywhere!,Damaged_Defective,High
M0287,C0169,"Hello, I was charged twice for the same order. Please let me know.",Billing,Low
M0011,C0061,"Hi there, the courier never showed up.",Delivery,Low
M0262,C0138,I am ABSOLUTELY furious!! please refund me for the order I sent back. I want this resolved immediately!!,Refund_Return,High
M0471,C0107,"Hi there, the payment page is not loading. Thanks for your help.",App_Technical,Low
M0175,C0001,I am done with Lulu! the screen was cracked when I opened it. I want this resolved immediately!!,Damaged_Defective,High
M0136,C0168,It's bothering me that there were parts missing and the unit is faulty. I'd like this fixed.,Damaged_Defective,Medium
M0457,C0011,"Hi there, the app keeps crashing when I try to checkout.",App_Technical,Low
M0212,C0118,I am still waiting for the refund you promised. This needs attention.,Refund_Return,Medium
M0031,C0072,The courier never showed up.,Delivery,Medium
M0585,C0023,I'm a bit annoyed that I just wanted to ask about your return policy. This needs attention.,General_Query,Medium
M0495,C0040,It's bothering me that the app shows an error every time I open it. I'd like this fixed.,App_Technical,Medium
M0342,C0089,I am done with Lulu! the amount deducted is more than the order total. This is the third time — enough!!,Billing,High
M0042,C0045,Not happy that nobody delivered my order today as promised. Hoping for a quick resolution.,Delivery,Medium
M0588,C0187,I'm disappointed that I have a question about my loyalty points. I'd like this fixed.,General_Query,Medium
M0266,C0023,I am done with Lulu! I am still waiting for the refund you promised. Fix this NOW or I'm leaving for good!,Refund_Return,High
M0057,C0157,This is frustrating — my order still has not arrived. This needs attention.,Delivery,Medium
M0405,C0014,I'm a bit annoyed that the quality of this product is poor. Please sort this out soon.,Product_Quality,Medium
M0540,C0139,This is the LAST straw. I cannot track my order in the app. This is the third time — enough!!,App_Technical,High
M0397,C0189,I'm disappointed that the material is low quality and wore out fast. Hoping for a quick resolution.,Product_Quality,Medium
M0156,C0006,This is the LAST straw. the blender is defective and will not switch on. I'm escalating this everywhere!,Damaged_Defective,High
M0025,C0200,The courier never showed up.,Delivery,Low
M0083,C0161,I am done with Lulu! my order still has not arrived. I'm escalating this everywhere!,Delivery,High
M0365,C0104,"Hello, the material is low quality and wore out fast. Kind regards.",Product_Quality,Low
M0216,C0130,Not happy that I want to return this item and get my money back. Kindly resolve.,Refund_Return,Medium
M0599,C0143,It's bothering me that I just wanted to ask about your return policy. Hoping for a quick resolution.,General_Query,Medium
M0488,C0056,I'm disappointed that the website freezes when I add items to cart. Please sort this out soon.,App_Technical,Medium
M0071,C0097,I am done with Lulu! my order still has not arrived. I want this resolved immediately!!,Delivery,High
M0364,C0209,"Hi there, the material is low quality and wore out fast. Kind regards.",Product_Quality,Low
M0611,C0205,I have HAD enough — is this product available in the Dubai store. Fix this NOW or I'm leaving for good!,General_Query,High
M0282,C0065,I see a payment I never authorized. Appreciate it.,Billing,Low
M0061,C0064,I am done with Lulu! my order still has not arrived. I want this resolved immediately!!,Delivery,High
M0406,C0068,Not happy that the quality of this product is poor.,Product_Quality,Medium
M0413,C0089,It's bothering me that this is not the quality I expected from Lulu. Kindly resolve.,Product_Quality,Medium
M0211,C0012,This is frustrating — how do I send this back for a refund. Kindly resolve.,Refund_Return,Medium
M0600,C0204,I'm a bit annoyed that I have a question about my loyalty points. I'd like this fixed.,General_Query,Medium
M0166,C0070,This is outrageous!! the item arrived broken. This is the third time — enough!!,Damaged_Defective,High
M0248,C0122,I have HAD enough — my refund has not been processed yet. This is the third time — enough!!,Refund_Return,High
M0276,C0076,"Hi there, there is an extra charge on my bill I do not understand. Thank you.",Billing,Low
